project_id,project_name,client,required_roles,required_skills,min_experience,deadline_days,budget_band,priority
P001,Cloud Migration — BPCL,BPCL,DevOps;Backend Dev;Data Engineer,AWS;Docker;Kubernetes;Python;Terraform,4,72,high,high
P002,FinTech Mobile App v3 — PhonePe,PhonePe,Backend Dev;Android Dev;Data Engineer,Python;Android;REST APIs;SQL;AWS,2,68,high,critical
P003,iOS Banking App — Axis Bank Tech,Axis Bank Tech,Android Dev;Backend Dev;Data Engineer,Swift;iOS;REST APIs;PostgreSQL;AWS,4,109,high,critical
P004,Data Analytics Dashboard — HCL,HCL,Data Scientist;Frontend Dev;Data Engineer,Python;SQL;React;Power BI;Tableau,2,35,medium,medium
P005,Internal HR Tool v2 — Yash Technologies,Yash Technologies,Full Stack Dev;Data Scientist,React;Python;SQL;REST APIs,1,37,low,medium
P006,Cloud Migration v2 — ONGC Tech,ONGC Tech,DevOps;Backend Dev;Data Engineer,AWS;Docker;Kubernetes;Python;Terraform,3,107,high,high
P007,Internal HR Tool v2 — Yash Technologies,Yash Technologies,Full Stack Dev;Data Scientist,React;Python;SQL;REST APIs,3,36,low,medium
P008,iOS Banking App v3 — Axis Bank Tech,Axis Bank Tech,Android Dev;Backend Dev;Data Engineer,Swift;iOS;REST APIs;PostgreSQL;AWS,2,115,high,critical
P009,E-Commerce Platform v2 — Snapdeal,Snapdeal,Full Stack Dev;Backend Dev;DevOps,React;Node.js;PostgreSQL;Docker;AWS,4,51,medium,high
P010,ML Recommendation Engine — Myntra,Myntra,ML Engineer;Data Engineer;Backend Dev,Python;TensorFlow;pandas;SQL;FastAPI,3,79,high,high
P011,Internal HR Tool v1 — Internal,Internal,Full Stack Dev;Data Scientist,React;Python;SQL;REST APIs,1,34,low,medium
P012,RAG Chatbot — Zoho,Zoho,ML Engineer;Backend Dev;Data Engineer,Python;LLMs;RAG;FAISS;FastAPI,3,62,medium,high
P013,RAG Chatbot — Zoho,Zoho,ML Engineer;Backend Dev;Data Engineer,Python;LLMs;RAG;FAISS;FastAPI,2,53,medium,high
P014,Cloud Migration — BPCL,BPCL,DevOps;Backend Dev;Data Engineer,AWS;Docker;Kubernetes;Python;Terraform,3,143,high,high
P015,RAG Chatbot — Zoho,Zoho,ML Engineer;Backend Dev;Data Engineer,Python;LLMs;RAG;FAISS;FastAPI,3,60,medium,high
P016,Data Analytics Dashboard — HCL,HCL,Data Scientist;Frontend Dev;Data Engineer,Python;SQL;React;Power BI;Tableau,1,25,medium,medium
P017,FinTech Mobile App — PhonePe,PhonePe,Backend Dev;Android Dev;Data Engineer,Python;Android;REST APIs;SQL;AWS,2,65,high,critical
P018,iOS Banking App v1 — Axis Bank Tech,Axis Bank Tech,Android Dev;Backend Dev;Data Engineer,Swift;iOS;REST APIs;PostgreSQL;AWS,3,67,high,critical
P019,FinTech Mobile App — Paytm,Paytm,Backend Dev;Android Dev;Data Engineer,Python;Android;REST APIs;SQL;AWS,4,59,high,critical
P020,ML Recommendation Engine v2 — Flipkart,Flipkart,ML Engineer;Data Engineer;Backend Dev,Python;TensorFlow;pandas;SQL;FastAPI,5,113,high,high
P021,FinTech Mobile App v2 — Paytm,Paytm,Backend Dev;Android Dev;Data Engineer,Python;Android;REST APIs;SQL;AWS,3,30,high,critical
P022,RAG Chatbot v1 — Zoho,Zoho,ML Engineer;Backend Dev;Data Engineer,Python;LLMs;RAG;FAISS;FastAPI,4,72,medium,high
P023,ML Recommendation Engine — Myntra,Myntra,ML Engineer;Data Engineer;Backend Dev,Python;TensorFlow;pandas;SQL;FastAPI,5,114,high,high
P024,FinTech Mobile App v1 — Groww,Groww,Backend Dev;Android Dev;Data Engineer,Python;Android;REST APIs;SQL;AWS,4,54,high,critical
P025,RAG Chatbot v2 — Freshworks,Freshworks,ML Engineer;Backend Dev;Data Engineer,Python;LLMs;RAG;FAISS;FastAPI,2,52,medium,high
P026,Cloud Migration v1 — Reliance Jio,Reliance Jio,DevOps;Backend Dev;Data Engineer,AWS;Docker;Kubernetes;Python;Terraform,5,102,high,high
P027,Data Analytics Dashboard — Infosys,Infosys,Data Scientist;Frontend Dev;Data Engineer,Python;SQL;React;Power BI;Tableau,2,31,medium,medium
P028,Internal HR Tool v1 — Yash Technologies,Yash Technologies,Full Stack Dev;Data Scientist,React;Python;SQL;REST APIs,1,42,low,medium
P029,Internal HR Tool — Internal,Internal,Full Stack Dev;Data Scientist,React;Python;SQL;REST APIs,1,45,low,medium
P030,Cloud Migration — BPCL,BPCL,DevOps;Backend Dev;Data Engineer,AWS;Docker;Kubernetes;Python;Terraform,4,125,high,high
