project_id,role,employee_id,semantic_score,skill_overlap,availability_pct,experience_years,final_score,eligible
P001,DevOps,E041,0.8177,0.8,100,9,0.8451,True
P001,DevOps,E052,0.826,0.8,100,4,0.8282,True
P001,DevOps,E066,0.7267,0.6,100,10,0.786,True
P001,DevOps,E061,0.7046,0.6,100,8,0.7614,True
P001,DevOps,E075,0.6976,0.6,100,9,0.7611,True
P001,DevOps,E074,0.8042,0.6,80,8,0.7311,True
P001,DevOps,E058,0.6769,0.6,100,4,0.7238,True
P001,DevOps,E048,0.6638,0.4,100,5,0.7192,True
P001,DevOps,E073,0.7835,0.6,80,8,0.7166,True
P001,DevOps,E064,0.6474,0.4,100,5,0.7077,True
P001,DevOps,E044,0.6523,0.4,100,4,0.7066,True
P001,DevOps,E031,0.6114,0.4,100,5,0.6825,True
P001,DevOps,E004,0.753,0.4,80,4,0.6771,True
P001,DevOps,E009,0.579,0.0,100,8,0.6735,True
P001,DevOps,E030,0.574,0.2,100,8,0.67,True
P001,DevOps,E049,0.8404,0.6,60,10,0.6656,True
P001,DevOps,E029,0.5839,0.0,100,5,0.6633,True
P001,DevOps,E025,0.5769,0.0,100,6,0.6629,True
P001,DevOps,E050,0.5455,0.2,100,10,0.6591,True
P001,DevOps,E070,0.705,0.6,80,7,0.6571,True
P001,DevOps,E079,0.6978,0.4,80,6,0.6475,True
P001,DevOps,E055,0.6829,0.6,80,8,0.6462,True
P001,DevOps,E007,0.682,0.4,80,7,0.641,True
P001,DevOps,E043,0.6608,0.2,80,9,0.6353,True
P001,DevOps,E062,0.6395,0.4,80,12,0.634,True
P001,DevOps,E072,0.6901,0.4,80,4,0.6331,True
P001,DevOps,E056,0.6567,0.4,80,8,0.6279,True
P001,DevOps,E016,0.6204,0.4,80,11,0.6161,True
P001,DevOps,E057,0.7885,0.4,60,7,0.6156,True
P001,DevOps,E024,0.6451,0.4,80,7,0.6152,True
P001,DevOps,E028,0.6021,0.2,80,10,0.5987,True
P001,DevOps,E042,0.6185,0.0,80,7,0.5966,True
P001,DevOps,E046,0.7803,0.6,60,4,0.5962,True
P001,DevOps,E010,0.6097,0.4,80,8,0.595,True
P001,DevOps,E071,0.6211,0.2,80,6,0.5939,True
P001,DevOps,E020,0.5923,0.4,80,8,0.5828,True
P001,DevOps,E039,0.7443,0.6,60,5,0.5756,True
P001,DevOps,E013,0.4376,0.2,100,8,0.5745,True
P001,DevOps,E018,0.7008,0.6,60,9,0.5633,True
P001,DevOps,E006,0.6739,0.4,60,12,0.5581,True
P001,DevOps,E019,0.5597,0.2,80,5,0.5463,True
P001,DevOps,E078,0.6959,0.4,60,6,0.5462,True
P001,DevOps,E036,0.5503,0.2,80,6,0.5443,True
P001,DevOps,E023,0.7033,0.4,60,4,0.5423,True
P001,DevOps,E026,0.5339,0.0,80,8,0.5419,True
P001,DevOps,E005,0.5499,0.2,80,5,0.5395,True
P001,DevOps,E067,0.6656,0.2,60,7,0.5296,True
P001,DevOps,E059,0.6751,0.4,60,5,0.5271,True
P001,DevOps,E080,0.5187,0.4,80,6,0.5222,True
P001,DevOps,E063,0.6606,0.2,60,5,0.517,True
P001,DevOps,E002,0.621,0.2,60,10,0.5119,True
P001,DevOps,E068,0.495,0.2,80,7,0.5101,True
P001,DevOps,E003,0.6033,0.4,60,6,0.4814,True
P001,DevOps,E022,0.5955,0.0,60,7,0.4805,True
P001,DevOps,E051,0.4554,0.0,80,4,0.4688,True
