project_id,role,employee_id,final_score,eligible
P001,DevOps,E041,0.8451,True
P001,DevOps,E052,0.8282,True
P001,DevOps,E066,0.786,True
P001,DevOps,E061,0.7614,True
P001,DevOps,E075,0.7611,True
P001,DevOps,E074,0.7311,True
P001,DevOps,E058,0.7238,True
P001,DevOps,E048,0.7192,True
P001,DevOps,E073,0.7166,True
P001,DevOps,E064,0.7077,True
P001,DevOps,E044,0.7066,True
P001,DevOps,E031,0.6825,True
P001,DevOps,E004,0.6771,True
P001,DevOps,E009,0.6735,True
P001,DevOps,E030,0.67,True
P001,DevOps,E049,0.6656,True
P001,DevOps,E029,0.6633,True
P001,DevOps,E025,0.6629,True
P001,DevOps,E050,0.6591,True
P001,DevOps,E070,0.6571,True
P001,DevOps,E079,0.6475,True
P001,DevOps,E055,0.6462,True
P001,DevOps,E007,0.641,True
P001,DevOps,E043,0.6353,True
P001,DevOps,E062,0.634,True
P001,DevOps,E072,0.6331,True
P001,DevOps,E056,0.6279,True
P001,DevOps,E016,0.6161,True
P001,DevOps,E057,0.6156,True
P001,DevOps,E024,0.6152,True
P001,DevOps,E028,0.5987,True
P001,DevOps,E042,0.5966,True
P001,DevOps,E046,0.5962,True
P001,DevOps,E010,0.595,True
P001,DevOps,E071,0.5939,True
P001,DevOps,E020,0.5828,True
P001,DevOps,E039,0.5756,True
P001,DevOps,E013,0.5745,True
P001,DevOps,E018,0.5633,True
P001,DevOps,E006,0.5581,True
P001,DevOps,E019,0.5463,True
P001,DevOps,E078,0.5462,True
P001,DevOps,E036,0.5443,True
P001,DevOps,E023,0.5423,True
P001,DevOps,E026,0.5419,True
P001,DevOps,E005,0.5395,True
P001,DevOps,E067,0.5296,True
P001,DevOps,E059,0.5271,True
P001,DevOps,E080,0.5222,True
P001,DevOps,E063,0.517,True
P001,DevOps,E002,0.5119,True
P001,DevOps,E068,0.5101,True
P001,DevOps,E003,0.4814,True
P001,DevOps,E022,0.4805,True
P001,DevOps,E051,0.4688,True
P001,DevOps,E008,0.4608,True
P001,DevOps,E060,0.4076,True
P001,DevOps,E021,0.3963,True
P001,DevOps,E015,0.0,False
P001,DevOps,E012,0.0,False
P001,DevOps,E001,0.0,False
P001,DevOps,E014,0.0,False
P001,DevOps,E011,0.0,False
P001,DevOps,E032,0.0,False
P001,DevOps,E047,0.0,False
P001,DevOps,E045,0.0,False
P001,DevOps,E034,0.0,False
P001,DevOps,E033,0.0,False
P001,DevOps,E035,0.0,False
P001,DevOps,E037,0.0,False
P001,DevOps,E038,0.0,False
P001,DevOps,E040,0.0,False
P001,DevOps,E027,0.0,False
P001,DevOps,E017,0.0,False
P001,DevOps,E054,0.0,False
P001,DevOps,E053,0.0,False
P001,DevOps,E069,0.0,False
P001,DevOps,E065,0.0,False
P001,DevOps,E076,0.0,False
P001,DevOps,E077,0.0,False
P001,Backend Dev,E066,0.8558,True
P001,Backend Dev,E075,0.8396,True
P001,Backend Dev,E061,0.8389,True
P001,Backend Dev,E041,0.8153,True
P001,Backend Dev,E048,0.8028,True
P001,Backend Dev,E052,0.7785,True
P001,Backend Dev,E009,0.7424,True
P001,Backend Dev,E070,0.7384,True
P001,Backend Dev,E029,0.7369,True
P001,Backend Dev,E025,0.7307,True
P001,Backend Dev,E055,0.7251,True
P001,Backend Dev,E079,0.7226,True
P001,Backend Dev,E007,0.7178,True
P001,Backend Dev,E058,0.7133,True
P001,Backend Dev,E072,0.7003,True
P001,Backend Dev,E044,0.6993,True
P001,Backend Dev,E064,0.693,True
P001,Backend Dev,E074,0.6851,True
P001,Backend Dev,E031,0.6718,True
P001,Backend Dev,E020,0.6683,True
P001,Backend Dev,E030,0.6637,True
P001,Backend Dev,E042,0.6605,True
P001,Backend Dev,E043,0.6601,True
P001,Backend Dev,E073,0.6566,True
P001,Backend Dev,E050,0.6545,True
P001,Backend Dev,E062,0.6443,True
P001,Backend Dev,E004,0.6219,True
P001,Backend Dev,E078,0.6208,True
P001,Backend Dev,E071,0.62,True
P001,Backend Dev,E026,0.6199,True
P001,Backend Dev,E016,0.6185,True
P001,Backend Dev,E023,0.6176,True
P001,Backend Dev,E024,0.6136,True
P001,Backend Dev,E056,0.6129,True
P001,Backend Dev,E028,0.6032,True
P001,Backend Dev,E049,0.6029,True
P001,Backend Dev,E019,0.5935,True
P001,Backend Dev,E036,0.5807,True
P001,Backend Dev,E010,0.5804,True
P001,Backend Dev,E013,0.5754,True
P001,Backend Dev,E018,0.5638,True
P001,Backend Dev,E003,0.5608,True
P001,Backend Dev,E039,0.5585,True
P001,Backend Dev,E067,0.5572,True
P001,Backend Dev,E057,0.5548,True
P001,Backend Dev,E046,0.5524,True
P001,Backend Dev,E059,0.5515,True
P001,Backend Dev,E006,0.551,True
P001,Backend Dev,E068,0.5438,True
P001,Backend Dev,E002,0.5434,True
P001,Backend Dev,E063,0.5398,True
P001,Backend Dev,E005,0.5337,True
P001,Backend Dev,E080,0.5286,True
P001,Backend Dev,E022,0.5141,True
P001,Backend Dev,E051,0.5069,True
P001,Backend Dev,E008,0.4663,True
P001,Backend Dev,E060,0.4458,True
P001,Backend Dev,E021,0.4247,True
P001,Backend Dev,E015,0.0,False
P001,Backend Dev,E012,0.0,False
P001,Backend Dev,E001,0.0,False
P001,Backend Dev,E014,0.0,False
P001,Backend Dev,E011,0.0,False
P001,Backend Dev,E032,0.0,False
P001,Backend Dev,E047,0.0,False
P001,Backend Dev,E045,0.0,False
P001,Backend Dev,E034,0.0,False
P001,Backend Dev,E033,0.0,False
P001,Backend Dev,E035,0.0,False
P001,Backend Dev,E037,0.0,False
P001,Backend Dev,E038,0.0,False
P001,Backend Dev,E040,0.0,False
P001,Backend Dev,E027,0.0,False
P001,Backend Dev,E017,0.0,False
P001,Backend Dev,E054,0.0,False
P001,Backend Dev,E053,0.0,False
P001,Backend Dev,E069,0.0,False
P001,Backend Dev,E065,0.0,False
P001,Backend Dev,E076,0.0,False
P001,Backend Dev,E077,0.0,False
P001,Data Engineer,E058,0.8178,True
P001,Data Engineer,E064,0.8027,True
P001,Data Engineer,E044,0.7832,True
P001,Data Engineer,E031,0.7473,True
P001,Data Engineer,E030,0.7418,True
P001,Data Engineer,E050,0.725,True
P001,Data Engineer,E041,0.7237,True
P001,Data Engineer,E056,0.722,True
P001,Data Engineer,E075,0.7205,True
P001,Data Engineer,E066,0.7197,True
P001,Data Engineer,E016,0.7007,True
P001,Data Engineer,E062,0.6979,True
P001,Data Engineer,E052,0.6954,True
P001,Data Engineer,E024,0.6936,True
P001,Data Engineer,E061,0.6846,True
P001,Data Engineer,E048,0.6689,True
P001,Data Engineer,E028,0.6561,True
P001,Data Engineer,E010,0.6553,True
P001,Data Engineer,E006,0.6529,True
P001,Data Engineer,E013,0.64,True
P001,Data Engineer,E039,0.6315,True
P001,Data Engineer,E018,0.6234,True
P001,Data Engineer,E029,0.6085,True
P001,Data Engineer,E070,0.6078,True
P001,Data Engineer,E005,0.6045,True
P001,Data Engineer,E074,0.6019,True
P001,Data Engineer,E009,0.5998,True
P001,Data Engineer,E025,0.5994,True
P001,Data Engineer,E043,0.5802,True
P001,Data Engineer,E073,0.5752,True
P001,Data Engineer,E079,0.5727,True
P001,Data Engineer,E055,0.568,True
P001,Data Engineer,E080,0.5665,True
P001,Data Engineer,E007,0.5637,True
P001,Data Engineer,E072,0.5598,True
P001,Data Engineer,E071,0.5587,True
P001,Data Engineer,E004,0.5385,True
P001,Data Engineer,E020,0.5382,True
P001,Data Engineer,E042,0.5358,True
P001,Data Engineer,E049,0.5344,True
P001,Data Engineer,E036,0.5166,True
P001,Data Engineer,E019,0.5119,True
P001,Data Engineer,E008,0.5075,True
P001,Data Engineer,E026,0.5011,True
P001,Data Engineer,E057,0.4797,True
P001,Data Engineer,E078,0.4726,True
P001,Data Engineer,E059,0.4712,True
P001,Data Engineer,E002,0.4695,True
P001,Data Engineer,E067,0.4683,True
